n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,rmse
500,0.05,7,1,1.0,0.8,21.1991625890694
500,0.05,7,1,1.0,1.0,21.320589393950517
500,0.05,7,5,0.8,0.8,20.945280826874733
500,0.05,7,5,0.8,1.0,21.165560041557605
500,0.05,7,5,1.0,0.8,21.072784780483644
500,0.05,7,5,1.0,1.0,21.088828601187394
500,0.05,7,10,0.8,0.8,20.83094510475817
500,0.05,7,10,0.8,1.0,20.99678407060336
500,0.05,7,10,1.0,0.8,20.924205343102347
500,0.05,7,10,1.0,1.0,21.00733854180537
500,0.1,3,1,0.8,0.8,21.702071069708733
500,0.1,3,1,0.8,1.0,21.225938407989904
500,0.1,3,1,1.0,0.8,21.58358688488856
500,0.1,3,1,1.0,1.0,21.521782165860586
500,0.1,3,5,0.8,0.8,21.881793671408907
500,0.1,3,5,0.8,1.0,21.160938345307155
500,0.1,3,5,1.0,0.8,21.44174637348035
500,0.1,3,5,1.0,1.0,21.509483242045086
500,0.1,3,10,0.8,0.8,21.583942012476697
500,0.1,3,10,0.8,1.0,21.34883550120473
500,0.1,3,10,1.0,0.8,21.46378156218236
500,0.1,3,10,1.0,1.0,21.47480455359232
500,0.1,5,1,0.8,0.8,20.97334074364531
500,0.1,5,1,0.8,1.0,21.016315755899097
500,0.1,5,1,1.0,0.8,21.401012959035405
500,0.1,5,1,1.0,1.0,21.24382837368685
500,0.1,5,5,0.8,0.8,21.04167309692052
500,0.1,5,5,0.8,1.0,21.046988932782323
500,0.1,5,5,1.0,0.8,21.563764714214106
500,0.1,5,5,1.0,1.0,21.51160223145768
500,0.1,5,10,0.8,0.8,20.961326161167232
500,0.1,5,10,0.8,1.0,20.924436863744702
500,0.1,5,10,1.0,0.8,21.215848730679316
500,0.1,5,10,1.0,1.0,21.09825004482089
500,0.1,7,1,0.8,0.8,21.185950836922817
500,0.1,7,1,0.8,1.0,21.296218402330187
500,0.1,7,1,1.0,0.8,21.27374814542463
500,0.1,7,1,1.0,1.0,21.141743854394207
500,0.1,7,5,0.8,0.8,20.860250786450365
500,0.1,7,5,0.8,1.0,21.073982994746967
500,0.1,7,5,1.0,0.8,20.82022168277693
500,0.1,7,5,1.0,1.0,21.3130056188345
500,0.1,7,10,0.8,0.8,20.980428474334484
500,0.1,7,10,0.8,1.0,21.425999478389027
500,0.1,7,10,1.0,0.8,20.9435408660942
500,0.1,7,10,1.0,1.0,20.988164393774923
800,0.03,3,1,0.8,0.8,22.0755651708988
800,0.03,3,1,0.8,1.0,22.002779874561615
800,0.03,3,1,1.0,0.8,22.27111305808277
800,0.03,3,1,1.0,1.0,22.12121441624042
800,0.03,3,5,0.8,0.8,22.063305808477935
800,0.03,3,5,0.8,1.0,21.950443509940783
800,0.03,3,5,1.0,0.8,22.280153913986616
800,0.03,3,5,1.0,1.0,22.16024590120903
800,0.03,3,10,0.8,0.8,22.018479734455823
800,0.03,3,10,0.8,1.0,21.92893515789412
800,0.03,3,10,1.0,0.8,22.375003933667745
800,0.03,3,10,1.0,1.0,22.1315085430341
800,0.03,5,1,0.8,0.8,21.480996854415526
800,0.03,5,1,0.8,1.0,21.58346838640183
